,PatchTST_instance_NMSE,PatchTST_revin_NMSE,min,cmin,cmin_init
Test MSE * 1e3,3.2590352464467287,3.250917512923479,3.2521634828299284,3.251147596165538,2.963716257363558
Test NMSE * 1e3,5.536831542849541,5.523046292364597,5.52519615739584,5.52346408367157,5.033948365598917
