,PatchTST_instance_NMSE,PatchTST_revin_NMSE,min,cmin,cmin_init
Test MSE * 1e3,0.05494096494667285,0.054171713751003416,0.05412563606657412,0.054223035618495945,0.07248364191924365
Test NMSE * 1e3,0.07771949167420701,0.0767949975498553,0.07651543862829592,0.07665186705798795,0.12710412990273678
