,min_init,min_fixed,min_init+revin,min_fixed+revin,min_init+gamma,min_fixed+gamma
Test MSE * 1e3,0.0,0.000118804513845876,0.0010530221587375518,0.001045848267055254,0.0010530221587375518,0.001045848267055254
Test NMSE * 1e3,0.0,0.0001990500751142941,0.0017710871559973543,0.0017628055757661425,0.0017710871559973543,0.0017628055757661425
