,min_init,min_fixed,min_init+revin,min_fixed+revin,min_init+gamma,min_fixed+gamma
Test MSE * 1e3,0.0,-5.317851901054382e-05,-0.007340172305703163,-0.0073957256972789764,-0.007340172305703163,-0.0073957256972789764
Test NMSE * 1e3,0.0,-8.773058652877808e-05,-0.012421701103448868,-0.012514274567365646,-0.012421701103448868,-0.012514274567365646
