,repeat_2_removeFalse,PatchTST_MSE_2_removeFalse,PatchTST_NMSE_2_removeFalse,repeat_2_removeTrue,PatchTST_MSE_2_removeTrue,PatchTST_NMSE_2_removeTrue
Test MSE * 1e-8,0.00206501484375,0.0031597040625,0.0047955353125,0.0022961725,0.00202557625,0.001140857890625
Test MAE * 1e-3,0.14104408264160156,0.18533467102050782,0.21788088989257812,0.1617235565185547,0.16761312866210937,0.1153510971069336
Test NMSE,0.5581450462341309,0.558933436870575,0.6133692264556885,0.5509858131408691,0.44383445382118225,0.29221871495246887
Test RMSE,0.12073785066604614,0.1071288213133812,0.11551672965288162,0.0913582444190979,0.07008403539657593,0.04296690225601196
