[2025-09-24 17:46:08,613][__main__][INFO] - =====Running train script=====
[2025-09-24 17:46:08,696][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon168/seed_1/instance_NMSE/
[2025-09-24 17:46:08,697][__main__][INFO] - Model PatchTST, norma instance, criterion NMSE, kwargs {'last': False, 'latent': False}
[2025-09-24 17:46:12,017][__main__][INFO] - Fetched dataloaders
[2025-09-24 17:46:12,018][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-24 17:46:12,018][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 168]
[2025-09-24 17:46:12,029][__main__][INFO] - --Training--
[2025-09-24 17:46:13,660][__main__][INFO] - Starting training pytorch with lr=1e-05
[2025-09-24 17:46:13,661][__main__][INFO] - Using device: cuda
[2025-09-24 17:46:13,661][__main__][INFO] - Training 1200 epochs of 11 batches (13200 steps): , eval_freq: 100, print_freq: 100
[2025-09-24 17:54:01,112][__main__][INFO] - Step 1 | valid1 MSE : 0.0028 | valid1 NMSE : 1.2141
[2025-09-24 18:01:47,444][__main__][INFO] - Step 100 | valid1 MSE : 0.0012 | valid1 NMSE : 0.4949
[2025-09-24 18:09:34,952][__main__][INFO] - Step 200 | valid1 MSE : 0.0010 | valid1 NMSE : 0.4176
[2025-09-24 18:17:21,942][__main__][INFO] - Step 300 | valid1 MSE : 0.0009 | valid1 NMSE : 0.3777
[2025-09-24 18:25:08,485][__main__][INFO] - Step 400 | valid1 MSE : 0.0008 | valid1 NMSE : 0.3541
[2025-09-24 18:32:53,647][__main__][INFO] - Step 500 | valid1 MSE : 0.0008 | valid1 NMSE : 0.3388
[2025-09-24 18:40:39,808][__main__][INFO] - Step 600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3284
[2025-09-24 18:48:27,156][__main__][INFO] - Step 700 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3210
[2025-09-24 18:56:14,280][__main__][INFO] - Step 800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3154
[2025-09-24 19:04:01,762][__main__][INFO] - Step 900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3111
[2025-09-24 19:11:48,714][__main__][INFO] - Step 1000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3071
[2025-09-24 19:19:35,885][__main__][INFO] - Step 1100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3045
[2025-09-24 19:27:22,430][__main__][INFO] - Step 1200 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3019
[2025-09-24 19:35:07,756][__main__][INFO] - Step 1300 | valid1 MSE : 0.0007 | valid1 NMSE : 0.2996
[2025-09-24 19:42:53,220][__main__][INFO] - Step 1400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.2976
[2025-09-24 19:50:39,955][__main__][INFO] - Step 1500 | valid1 MSE : 0.0007 | valid1 NMSE : 0.2965
[2025-09-24 19:58:26,619][__main__][INFO] - Step 1600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.2950
[2025-09-24 20:06:12,781][__main__][INFO] - Step 1700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2938
[2025-09-24 20:13:58,100][__main__][INFO] - Step 1800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2934
[2025-09-24 20:21:42,467][__main__][INFO] - Step 1900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2917
[2025-09-24 20:29:27,818][__main__][INFO] - Step 2000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2913
[2025-09-24 20:37:12,933][__main__][INFO] - Step 2100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2908
[2025-09-24 20:44:58,159][__main__][INFO] - Step 2200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2894
[2025-09-24 20:52:43,445][__main__][INFO] - Step 2300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2892
[2025-09-24 21:00:29,285][__main__][INFO] - Step 2400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2883
[2025-09-24 21:08:15,034][__main__][INFO] - Step 2500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2883
[2025-09-24 21:16:01,055][__main__][INFO] - Step 2600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2874
[2025-09-24 21:23:45,946][__main__][INFO] - Step 2700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2870
[2025-09-24 21:31:31,595][__main__][INFO] - Step 2800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2867
[2025-09-24 21:39:18,330][__main__][INFO] - Step 2900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2864
[2025-09-24 21:47:03,688][__main__][INFO] - Step 3000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2860
[2025-09-24 21:54:48,957][__main__][INFO] - Step 3100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2859
[2025-09-24 22:02:34,757][__main__][INFO] - Step 3200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2856
[2025-09-24 22:10:21,011][__main__][INFO] - Step 3300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2848
[2025-09-24 22:18:07,266][__main__][INFO] - Step 3400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2843
[2025-09-24 22:25:52,445][__main__][INFO] - Step 3500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2848
[2025-09-24 22:33:38,750][__main__][INFO] - Step 3600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2844
[2025-09-24 22:41:24,624][__main__][INFO] - Step 3700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2845
[2025-09-24 22:49:09,460][__main__][INFO] - Step 3800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2837
[2025-09-24 22:56:53,978][__main__][INFO] - Step 3900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2837
[2025-09-24 23:04:38,001][__main__][INFO] - Step 4000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2834
[2025-09-24 23:12:20,897][__main__][INFO] - Step 4100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.2831
