[2025-09-24 17:46:08,613][__main__][INFO] - =====Running train script=====
[2025-09-24 17:46:08,648][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon504/seed_1/instance_NMSE/
[2025-09-24 17:46:08,649][__main__][INFO] - Model PatchTST, norma instance, criterion NMSE, kwargs {'last': False, 'latent': False}
[2025-09-24 17:46:12,123][__main__][INFO] - Fetched dataloaders
[2025-09-24 17:46:12,123][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-24 17:46:12,123][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 504]
[2025-09-24 20:09:16,022][__main__][INFO] - Step 2400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3366
[2025-09-24 20:14:59,553][__main__][INFO] - Step 2500 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3362
[2025-09-24 20:20:42,526][__main__][INFO] - Step 2600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3355
[2025-09-24 20:26:25,765][__main__][INFO] - Step 2700 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3354
[2025-09-24 20:32:08,978][__main__][INFO] - Step 2800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3347
[2025-09-24 20:37:52,252][__main__][INFO] - Step 2900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3349
[2025-09-24 20:43:35,709][__main__][INFO] - Step 3000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3343
[2025-09-24 20:49:19,529][__main__][INFO] - Step 3100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3338
[2025-09-24 20:55:02,706][__main__][INFO] - Step 3200 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3334
[2025-09-24 21:00:46,337][__main__][INFO] - Step 3300 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3331
[2025-09-24 21:06:29,636][__main__][INFO] - Step 3400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3332
[2025-09-24 21:12:13,009][__main__][INFO] - Step 3500 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3325
[2025-09-24 21:17:55,763][__main__][INFO] - Step 3600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3327
[2025-09-24 21:23:39,113][__main__][INFO] - Step 3700 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3323
[2025-09-24 21:29:22,187][__main__][INFO] - Step 3800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3322
[2025-09-24 21:35:05,538][__main__][INFO] - Step 3900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3318
[2025-09-24 21:40:48,474][__main__][INFO] - Step 4000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3316
[2025-09-24 21:46:31,302][__main__][INFO] - Step 4100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3314
[2025-09-24 21:52:14,123][__main__][INFO] - Step 4200 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3317
[2025-09-24 21:57:57,289][__main__][INFO] - Step 4300 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3309
[2025-09-24 22:03:40,520][__main__][INFO] - Step 4400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3311
[2025-09-24 22:09:23,421][__main__][INFO] - Step 4500 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3310
[2025-09-24 22:15:06,320][__main__][INFO] - Step 4600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3310
[2025-09-24 22:20:48,759][__main__][INFO] - Step 4700 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3306
[2025-09-24 22:26:31,358][__main__][INFO] - Step 4800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3308
